# column2  
#           x                    probability
2.010812414800000170e+01 3.816579833449394721e-02
2.015790694000000016e+01 3.153700178165853851e-02
2.020768973199999863e+01 3.053263866759515707e-02
2.025747252400000065e+01 3.213961965010016936e-02
2.030725531599999911e+01 2.972914817634053283e-02
2.035703810799999758e+01 3.515270899229705481e-02
2.040682089999999960e+01 2.932740293071430665e-02
2.045660369200000162e+01 3.013089342196890313e-02
2.050638648400000008e+01 3.675968997479944073e-02
2.055616927599999855e+01 2.932740293071640220e-02
2.060595206800000057e+01 3.274223751853953812e-02
2.065573485999999903e+01 3.153700178165853851e-02
2.070551765199999750e+01 3.213961965010016936e-02
2.075530044399999952e+01 3.334485538697654072e-02
2.080508323600000153e+01 2.932740293071640220e-02
2.085486602800000000e+01 2.832303981664874640e-02
2.090464881999999847e+01 3.173787440447391195e-02
2.095443161200000048e+01 3.515270899229454987e-02
2.100421440400000250e+01 3.173787440447391195e-02
2.105399719599999742e+01 3.314398276416579553e-02
2.110377998799999943e+01 3.133612915884542716e-02
2.115356278000000145e+01 3.173787440447391195e-02
2.120334557199999992e+01 3.173787440447164987e-02
2.125312836399999838e+01 2.792129457102451862e-02
2.130291115600000040e+01 2.751954932539630097e-02
2.135269394800000242e+01 2.490820522882762969e-02
2.140247673999999733e+01 3.575532686073643052e-02
2.145225953199999935e+01 3.073351129040608962e-02
2.150204232400000137e+01 3.193874702728703718e-02
2.155182511599999984e+01 3.314398276416342937e-02
2.160160790799999830e+01 3.073351129040828231e-02
2.165139070000000032e+01 3.756318046605188615e-02
2.170117349200000234e+01 2.993002079915577790e-02
2.175095628399999725e+01 3.153700178166078671e-02
2.180073907599999927e+01 2.872478506227497258e-02
2.185052186800000129e+01 2.731867670258513944e-02
2.190030465999999976e+01 2.932740293071430665e-02
2.195008745199999822e+01 3.414834587823142864e-02
2.199987024400000024e+01 3.394747325541587479e-02
2.204965303600000226e+01 2.952827555352952396e-02
2.209943582799999717e+01 2.772042194821139338e-02
2.214921861999999919e+01 2.711780407977008173e-02
2.219900141200000121e+01 3.113525653603453625e-02
2.224878420399999968e+01 3.153700178165853851e-02
2.229856699599999814e+01 2.751954932539826468e-02
2.234834978800000016e+01 2.691693145695696690e-02
2.239813258000000218e+01 2.631431358851951327e-02
2.244791537199999709e+01 2.932740293071640220e-02
2.249769816399999911e+01 2.892565768508808394e-02
2.254748095600000113e+01 2.591256834289325933e-02
2.259726374799999959e+01 2.772042194820941233e-02
2.264704653999999806e+01 3.173787440447391195e-02
2.269682933200000008e+01 3.314398276416342937e-02
2.274661212400000210e+01 2.772042194821139338e-02
2.279639491599999701e+01 2.551082309726700886e-02
2.284617770799999903e+01 2.772042194820941233e-02
2.289596050000000105e+01 2.852391243946389779e-02
2.294574329199999951e+01 2.892565768508808394e-02
2.299552608399999798e+01 2.671605883414576027e-02
2.304530887600000000e+01 3.073351129040608962e-02
2.309509166800000202e+01 2.651518621133263504e-02
2.314487446000000048e+01 2.832303981664874640e-02
2.319465725199999895e+01 2.671605883414576027e-02
2.324444004400000097e+01 3.013089342196890313e-02
2.329422283599999943e+01 3.133612915884542716e-02
2.334400562799999790e+01 2.892565768509015173e-02
2.339378841999999992e+01 2.671605883414576027e-02
2.344357121199999838e+01 2.410471473757340444e-02
2.349335400399999685e+01 2.490820522882762969e-02
2.354313679599999887e+01 2.591256834289141012e-02
2.359291958800000089e+01 2.691693145695888550e-02
2.364270237999999935e+01 2.671605883414385554e-02
2.369248517199999782e+01 3.173787440447391195e-02
2.374226796399999984e+01 2.993002079915577790e-02
2.379205075599999830e+01 2.691693145695696690e-02
2.384183354799999677e+01 2.370296949194887134e-02
2.389161633999999879e+01 2.852391243946186122e-02
2.394139913200000080e+01 2.832303981665077255e-02
2.399118192399999927e+01 2.892565768508808394e-02
2.404096471599999774e+01 2.591256834289325933e-02
2.409074750799999975e+01 2.872478506227702302e-02
2.414053029999999822e+01 2.751954932539630097e-02
